#;Country, Other;Total Cases;New Cases;Total Deaths;New Deaths;Total Recovered;New Recovered;Active Cases;Serious, Critical;Tot Cases/ 1M pop;Deaths/ 1M pop;Total Tests;Tests/1M pop;Population
51;Hong Kong;1,205,396;313;9,328;3;N/A;N/A;N/A;5;158,425;1,226;44,972,952;5,910,805;7,608,600
52;Singapore;1,204,184;1,638;1,34;2;1,142,342;1,811;60,502;6;202,903;226;23,767,171;4,004,727;5,934,779
53;Morocco;1,165,026;22;16,069;;1,148,661;66;296;293;30,892;426;11,237,010;297,958;37,713,387
54;Bulgaria;1,158,354;435;36,953;6;986,992;3,578;134,409;82;169,042;5,393;9,871,453;1,440,566;6,852,481
55;Croatia;1,124,762;1,184;15,856;8;1,103,572;368;5,334;17;277,116;3,907;4,799,675;1,182,530;4,058,818
56;Cuba;1,103,488;93;8,527;;1,094,267;210;694;23;97,534;754;12,920,253;1,141,977;11,313,930
57;Lebanon;1,097,118;;10,392;;1,081,770;;4,956;186;162,071;1,535;4,795,578;708,424;6,769,363
58;Lithuania;1,058,995;212;9,111;3;1,026,883;900;23,001;28;399,226;3,435;8,257,933;3,113,126;2,652,618
59;Tunisia;1,040,712;519;28,566;16;N/A;N/A;N/A;29;86,398;2,371;4,584,296;380,58;12,045,560
60;Finland;1,023,013;;3,939;;46;;973,074;24;184,111;709;10,720,282;1,929,318;5,556,515
61;Slovenia;1,012,915;1,642;6,602;4;993,932;2,153;12,381;23;487,104;3,175;2,648,772;1,273,778;2,079,462
62;Belarus;981,07;202;6,958;4;928,536;;45,576;;103,887;737;13,177,291;1,395,365;9,443,619
63;Nepal;978,884;19;11,951;;966,715;18;218;;32,523;397;5,646,021;187,586;30,098,312
64;New Zealand;961,262;8,565;753;22;905,645;9,873;54,864;;192,172;151;7,091,138;1,417,632;5,002,100
65;Bolivia;905,15;53;21,923;;859,723;360;23,504;220;75,649;1,832;2,700,878;225,728;11,965,203
66;UAE;899,441;199;2,302;;883,16;280;13,979;;88,968;228;156,581,508;15,488,266;10,109,686
67;Uruguay;895,775;;7,197;;886,654;;1,924;18;256,242;2,059;6,091,188;1,742,419;3,495,823
68;Ecuador;869,956;;35,598;;N/A;N/A;N/A;759;47,972;1,963;2,470,170;136,213;18,134,638
69;Costa Rica;857,29;;8,421;;836,721;;12,148;42;165,517;1,626;4,291,131;828,486;5,179,483
70;Guatemala;847,491;706;17,636;14;827,705;628;2,15;5;45,752;952;4,477,695;241,729;18,523,603
71;Latvia;823,11;;5,777;;809,733;;7,6;8;445,419;3,126;7,186,387;3,888,855;1,847,944
72;Azerbaijan;792,585;;9,709;;782,804;;72;;76,899;942;6,820,672;661,759;10,306,888
73;Panama;780,148;1,838;8,189;1;764,02;381;7,939;8;175,733;1,845;5,897,952;1,328,548;4,439,396
74;Saudi Arabia;754,464;124;9,094;1;742,127;108;3,243;50;21,069;254;41,930,549;1,170,960;35,808,699
75;Sri Lanka;663,469;43;16,507;1;646,134;3;828;;30,747;765;6,486,117;300,589;21,578,015
76;Paraguay;649,455;;18,87;;624,673;;5,912;2;89,048;2,587;2,623,300;359,686;7,293,312
77;Kuwait;631,409;;2,555;;628,09;;764;8;143,945;582;8,007,805;1,825,573;4,386,460
78;Myanmar;612,951;27;19,434;;591,894;15;1,623;;11,129;353;7,989,608;145,057;55,079,184
79;Palestine;581,94;;5,353;;576,242;;345;17;109,409;1,006;3,078,533;578,785;5,318,954
80;Dominican Republic;579,572;129;4,376;;574,824;98;372;1;52,462;396;3,283,648;297,229;11,047,540
81;Estonia;572,434;;2,548;;511,857;;58,029;3;430,994;1,918;3,329,716;2,506,992;1,328,172
82;Bahrain;570,103;376;1,476;;565,516;356;3,111;2;314,968;815;9,733,630;5,377,598;1,810,033
83;Venezuela;522,55;;5,709;;515,769;;1,072;230;18,472;202;3,359,014;118,743;28,288,101
84;Moldova;516,986;;11,489;;504,142;;1,355;49;128,707;2,86;3,216,305;800,721;4,016,759
85;Egypt;515,645;;24,613;;442,182;;48,85;122;4,87;232;3,693,367;34,884;105,875,571
86;Libya;501,904;;6,43;;490,973;;4,501;101;71,265;913;2,477,219;351,74;7,042,747
87;Cyprus;474,267;;1,02;;124,37;;348,877;60;387,635;834;9,477,138;7,746,000;1,223,488
