,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/1M pop,Population
64,New Zealand,961262,8565,753,22.0,905645,9873,54864,0,192172,151,7091138,1417632,5002100
65,Bolivia,90515,53,21923,0.0,859723,360,23504,220,75649,1832,2700878,225728,11965203
66,UAE,899441,199,2302,0.0,88316,280,13979,0,88968,228,156581508,15488266,10109686
67,Uruguay,895775,0,7197,0.0,886654,0,1924,18,256242,2059,6091188,1742419,3495823
68,Ecuador,869956,0,35598,0.0,0,0,0,759,47972,1963,2470170,136213,18134638
69,Costa Rica,85729,0,8421,0.0,836721,0,12148,42,165517,1626,4291131,828486,5179483
70,Guatemala,847491,706,17636,14.0,827705,628,215,5,45752,952,4477695,241729,18523603
71,Latvia,82311,0,5777,0.0,809733,0,76,8,445419,3126,7186387,3888855,1847944
72,Azerbaijan,792585,0,9709,0.0,782804,0,72,0,76899,942,6820672,661759,10306888
73,Panama,780148,1838,8189,1.0,76402,381,7939,8,175733,1845,5897952,1328548,4439396
74,Saudi Arabia,754464,124,9094,1.0,742127,108,3243,50,21069,254,41930549,1170960,35808699
75,Sri Lanka,663469,43,16507,1.0,646134,3,828,0,30747,765,6486117,300589,21578015
76,Paraguay,649455,0,1887,0.0,624673,0,5912,2,89048,2587,2623300,359686,7293312
77,Kuwait,631409,0,2555,0.0,62809,0,764,8,143945,582,8007805,1825573,4386460
78,Myanmar,612951,27,19434,0.0,591894,15,1623,0,11129,353,7989608,145057,55079184
79,Palestine,58194,0,5353,0.0,576242,0,345,17,109409,1006,3078533,578785,5318954
80,Dominican Republic,579572,129,4376,0.0,574824,98,372,1,52462,396,3283648,297229,11047540
81,Estonia,572434,0,2548,0.0,511857,0,58029,3,430994,1918,3329716,2506992,1328172
82,Bahrain,570103,376,1476,0.0,565516,356,3111,2,314968,815,9733630,5377598,1810033
83,Venezuela,52255,0,5709,0.0,515769,0,1072,230,18472,202,3359014,118743,28288101
84,Moldova,516986,0,11489,0.0,504142,0,1355,49,128707,286,3216305,800721,4016759
85,Egypt,515645,0,24613,0.0,442182,0,4885,122,487,232,3693367,34884,105875571
86,Libya,501904,0,643,0.0,490973,0,4501,101,71265,913,2477219,35174,7042747
87,Cyprus,474267,0,102,0.0,12437,0,348877,60,387635,834,9477138,7746000,1223488
88,Ethiopia,470647,38,751,0.0,455716,5,7421,5,3916,62,4800646,39943,120187071
89,Mongolia,469885,0,2179,0.0,313256,0,15445,192,139219,646,4030048,1194033,3375157
90,Honduras,423794,19,10895,0.0,132358,0,280541,105,41574,1069,1358559,133275,10193652
91,Armenia,422877,3,8622,0.0,412026,7,2229,0,14222,29,3059332,1028898,2973407
92,Oman,389126,0,4258,0.0,384243,0,625,4,72804,797,25000000,4677399,5344851
93,Bosnia and Herzegovina,377087,0,15765,0.0,192218,0,169104,0,116264,4861,1758191,542087,3243377
94,R�union,374295,0,742,0.0,355605,0,17948,10,412656,818,1603660,1768019,907038
95,Qatar,364826,48,677,0.0,363645,72,504,3,129933,241,3452650,1229662,2807805
96,Kenya,323806,10,5649,0.0,318034,24,123,0,5788,101,3605860,64455,55944116
97,Zambia,319755,0,3976,0.0,315266,0,513,1,16543,206,3429405,17743,19328259
98,North Macedonia,309925,135,9283,1.0,300021,85,621,0,148772,4456,2025083,972094,2083217
99,Botswana,305859,0,2688,0.0,303026,0,145,1,125417,1102,2026898,831126,2438737
100,Albania,275211,20,3496,0.0,271424,85,291,2,95825,1217,1808952,629851,2872031
101,Algeria,265782,0,6875,0.0,178358,0,80549,6,5867,152,230861,5096,45303854
102,Nigeria,255766,0,3143,0.0,249914,0,2709,11,1187,15,5075820,23552,215511406
103,Zimbabwe,24805,60,5471,1.0,241899,38,680,12,16255,359,2264510,148396,15259935
104,Luxembourg,240132,797,1068,4.0,229649,32,9415,1,372492,1657,4234646,6568765,644664
105,Uzbekistan,238636,8,1637,0.0,236765,19,234,23,6945,48,1377915,40103,34359257
106,Montenegro,235484,81,2716,0.0,232117,85,651,6,374848,4323,2456137,3909726,628212
107,Mozambique,2254,13,2201,0.0,223155,12,44,13,6859,67,1314422,39999,32861508
108,China,218198,362,5128,16.0,19855,2092,1452,620,152,4,160000000,111163,1439323776
109,Laos,208111,263,745,0.0,766,0,199706,0,27862,100,1232128,164959,7469284
110,Taiwan,202418,28487,881,5.0,29697,976,17184,0,8471,37,15009750,628131,23895881
111,Kyrgyzstan,200993,0,2991,0.0,196406,1,1596,131,29902,445,1907195,283737,6721694
112,Iceland,185795,0,119,0.0,75685,0,109991,0,538057,345,2264004,6556496,345307
